x	y	z
11.89692309	9.394436314	146.1976928
9.456443133	10.0995206	119.3353294
8.520570024	11.89829975	159.6154404
9.485758731	10.14026184	118.200408
10.33284296	9.064558301	128.2079568
9.114715517	9.712287477	125.6132134
9.758478164	9.672986404	112.2305282
10.56202067	11.32295343	131.7726381
10.72035661	8.870374987	140.5152663
10.92677606	11.09429394	134.4038516
9.909784005	10.20213735	109.0708378
10.06777899	9.549656932	112.0776892
10.98802434	8.376642274	152.6759624
10.35557486	9.51858681	116.9684216
9.513946154	11.5792074	142.408129
9.747027631	10.7989984	121.0348704
11.94532916	9.859158271	140.26273
9.06158723	9.158678706	131.3090844
9.6301857	10.52649289	123.4323989
9.983470426	7.45700972	144.4791959
9.527667574	9.909468997	114.2693425
11.2362311	9.781661884	126.8727644
9.178884457	11.95279046	147.0251333
11.11179739	8.065576103	154.5366639
8.242955501	8.968262813	148.1811398
10.61296867	10.27600618	118.8214319
10.97203113	8.977578946	137.6038948
11.7573511	9.766856512	134.5573398
9.47189825	10.39309695	124.3121165
10.66025776	10.80128805	130.2272034
9.187480997	9.150732942	128.4843726
9.693129839	9.796448633	112.2954233
8.902321975	10.39188827	125.4610402
10.54341773	11.49814196	141.172243
10.00524211	9.273688171	114.9432517
9.616670417	7.542465931	154.6149383
11.23662401	9.007616145	143.2074067
9.24670553	9.84306738	116.4545722
10.49773553	10.60928569	123.9130746
9.156092151	10.19007719	126.0624868
9.421254276	9.983451271	116.2667113
9.833199317	10.07942096	104.4744895
9.411189364	11.17920962	133.1625171
9.559688344	9.56593094	120.9847733
9.857653713	10.54107105	116.0787565
10.08905032	9.324631487	120.2935775
10.80740523	8.823916227	135.7734916
10.19855361	8.450840392	138.6103719
9.781380153	11.24331098	127.4168839
9.376835805	9.391358038	130.8151389
9.315089512	10.49280509	123.7495463
11.91699035	9.217125994	148.99285
9.924894962	10.24408869	113.4165521
9.680394883	10.47496256	122.6212349
8.182096126	10.37729222	144.3623455
9.479020679	10.38975345	122.8735757
10.13578946	11.08607963	121.4227544
10.60141088	9.978388005	113.0953834
7.616298136	11.2857098	164.5701681
9.698650199	8.984851553	126.8097956
11.03977818	10.82125587	135.311815
10.25068982	8.97939522	127.712004
10.84525253	10.74578668	127.8175804
9.263963739	9.784873853	125.8227633
9.16952164	7.972784592	148.9997668
10.88089328	9.344482316	130.2550977
8.515115759	11.72841837	156.1142782
11.61665112	9.549008463	140.8180543
10.08047932	10.11587896	110.1891949
8.935954027	9.606809764	131.9072754
9.923711615	12.40910674	142.2752103
10.91366284	9.223974682	137.3566142
9.326417469	8.7777644	139.8951127
11.01647475	9.934575683	118.8821281
9.500253036	10.38318526	119.3623301
9.847958602	9.418968753	121.1512096
10.75696501	7.644717506	160.9064859
8.858010829	7.758599318	158.7222787
12.19944598	10.14618385	140.1772392
12.28721985	10.51157248	155.5837105
10.02723144	9.502704409	110.1511741
10.66128561	9.565765958	118.7203098
10.7161519	11.16653035	136.6792568
9.343858904	10.46917746	121.4771905
9.709781599	8.569796532	133.049346
8.445763565	9.001082835	151.239524
11.24030509	9.822183209	133.0890941
9.763478578	10.01668923	111.4096492
10.77751923	10.2587187	126.5184537
10.08581981	9.92138015	105.0424894
9.03468879	7.944423079	159.3852931
8.958010892	9.061408448	142.3808317
10.63793792	9.130213772	134.0121723
10.38072118	10.75680334	124.6356033
10.75678816	9.76827781	118.3759443
9.356952334	8.220919769	150.6289105
9.758443008	11.18021231	133.0385194
8.020332296	10.09503601	138.0522087
10.04995095	9.462668621	118.2235301
11.23238872	10.5404604	135.9537678
11.02738804	10.26851541	126.4791018
8.981113174	9.224458592	133.4834431
9.029676439	7.923297735	159.1306886
11.06538075	9.92925068	128.8641105
8.074500784	10.35130984	138.9311861
10.43337422	9.552084174	124.2849055
10.4279795	11.29049021	129.6533261
11.35877985	12.63471578	175.8032253
11.22669137	9.016857639	141.0770811
9.303337656	9.326692158	130.6745105
9.882078518	10.489497	117.9845396
9.064355996	9.023136007	136.5360436
11.43428219	9.627221194	139.697749
10.29159457	12.21012638	148.968003
8.915492807	10.57430496	131.8271743
9.152696674	10.55766661	130.3061275
8.671899508	10.34786922	136.3617862
8.114591231	9.992602017	135.1202769
8.722142355	10.11177078	123.2607842
9.090740061	8.606867464	146.30193
8.506373005	9.359972308	138.987552
10.59864706	10.14164534	119.4883233
9.80460357	10.05938477	104.9873012
10.7148807	8.927397363	138.7534974
9.388703427	9.74838673	124.029455
10.77736147	9.250150038	129.5516449
