x	y
0.145089937	0.009874454
0.36451964	0.116865304
0.158716116	0.484617054
0.962304016	0.185686487
0.999068071	0.528208833
0.05884786	0.208255913
0.156163488	0.347206879
0.892941205	0.509698165
0.786902374	0.490154247
0.379546418	0.33135157
0.736698716	0.140762865
0.329412889	0.408065781
0.375313111	0.25745826
0.161386938	0.436927299
0.192441673	0.426783527
0.181000814	0.357687216
0.820323638	0.44419783
0.609776041	0.374788653
0.821829585	0.145604781
0.39968543	0.397610069
0.521938732	0.536836313
0.171618674	0.201561459
0.678326142	0.419470637
0.052372062	0.586248536
0.557348345	0.221212115
0.929426109	0.53621378
0.105140547	0.63374243
0.796640758	0.557265811
0.020215991	0.703532348
0.752573533	0.538803884
0.235998863	0.220656449
0.956157964	0.303274278
0.638695034	0.430030129
0.835257896	0.664776448
0.279123601	0.602394026
0.484209295	0.567120436
0.630809974	0.396173645
0.396083861	0.40718684
0.150923213	0.575714301
0.42819941	0.320323361
0.557730743	0.390797479
0.684951665	0.410487273
0.121631469	0.305807856
0.753979982	0.399595738
0.048725711	0.769194555
0.746538318	0.506479084
0.964147155	0.413612016
0.100535885	0.5303922
0.574254322	0.721315005
0.963028076	0.69539774
0.110059105	0.71164058
0.101800082	0.410740776
0.989936704	0.580426503
0.379696397	0.499085739
0.209646833	0.715055643
0.152875724	0.447581488
0.603816126	0.404479221
0.289496845	0.54616847
0.359842069	0.653826014
0.220284114	0.66458365
0.62160784	0.649815204
0.021926367	0.571887036
0.550178426	0.830804862
0.513648859	0.382705573
0.756774511	0.448004049
0.493797731	0.721241174
0.798845414	0.788420171
0.672140623	0.787206728
0.304387655	0.732310892
0.602483854	0.59112507
0.205256355	0.6244688
0.033994197	0.841010556
0.068335966	0.873852416
0.338852205	0.418497674
0.078828883	0.512794113
0.389788687	0.859812825
0.326020386	0.820761267
0.057541664	0.814070331
0.328013361	0.749516316
0.630549537	0.540151048
0.83832743	0.76795039
0.425020712	0.517867826
0.339742803	0.618066055
0.825399363	0.454402532
0.458471494	0.532961526
0.859869543	0.607338675
0.990108311	0.740297075
0.065049008	0.828201164
0.057637875	0.566193565
0.272896135	0.949982019
0.324268541	0.825283441
0.852665441	0.477921887
0.238627954	0.485956811
0.776463737	0.471280086
0.861688768	0.533984832
0.856717945	0.68858307
0.038265085	0.957660106
0.012730951	0.651486402
0.241994885	0.93627091
0.843096538	0.65014102
0.262429264	0.542191198
0.529133529	0.969167625
0.831716273	0.535304023
0.496839969	0.920007458
0.676665308	0.580061726
0.741317407	0.589118268
0.689583155	0.778000146
0.607492693	0.659977337
0.397066411	0.559502594
0.80055055	0.927070076
0.418277133	0.565809321
0.11104631	0.510905168
0.797140197	0.812675003
0.925199559	0.63815961
0.59619472	0.994906188
0.439667999	0.503945056
0.190743699	0.804038894
0.505198767	0.683476628
0.768415228	0.927800307
0.81728337	0.8454706
0.751301653	0.828717693
0.744864239	0.97019225
0.523017484	0.692068649
0.766040012	0.66892262
0.490287094	0.908985027
0.320878791	0.747576983
0.561934346	0.873353963
0.968538624	0.571734041
0.229148782	0.933614624
0.68151059	0.662436903
0.326836184	0.754139507
0.069489925	0.82198513
0.671882527	0.718903662
0.769621297	0.569345276
0.662084367	0.598454012
0.541899489	0.945844042
0.206212292	0.762301764
0.422245555	0.921044301
0.084925332	0.787440258
0.263017183	0.646551318
0.30307931	0.58916263
0.753230505	0.71623572
0.688121162	0.570905337
0.24926349	0.779552676
0.228064873	0.531889052
0.036442434	0.98272712
0.112466819	0.547172111
0.747955045	0.973683232
0.877823501	0.880138092
0.315927982	0.942536033
0.940035633	0.650409568
0.301279135	0.702577215
0.073715207	0.695688621
0.168378078	0.825948047
0.852434648	0.515383185
0.972005302	0.497972697
0.275401989	0.678146679
0.934265328	0.963873296
0.631109244	0.510517409
0.33521449	0.656370117
0.352831438	0.758307407
0.368883918	0.695413881
0.020283226	0.457552347
0.412893036	0.487360491
0.233833641	0.929556557
0.691511591	0.56201961
0.546664984	0.935036587
0.00813037	0.916623435
0.059691968	0.791398365
0.446145989	0.794798819
0.811083823	0.657953189
0.865556204	0.79279994
0.838806646	0.846997162
0.131395629	0.470644206
0.647802614	0.789485446
0.280799191	0.738996332
0.940185208	0.623580191
0.770254996	0.488322764
0.8856391	0.620266854
0.072924935	0.566791397
0.407113193	0.636420636
0.469990689	0.845757733
0.989885029	0.754438036
0.872192598	0.541231125
0.014834584	0.402174185
0.901780892	0.618458857
0.601463115	0.773201916
0.180577149	0.656236235
0.659503261	0.716222876
0.192855711	0.753439229
0.247263296	0.792138827
0.58415285	0.526263007
0.176470449	0.653693444
0.32760383	0.570351117
0.608542943	0.616178739
0.711571869	0.368546011
0.558652281	0.675298718
0.735380673	0.72989556
0.384918281	0.490213844
0.493764743	0.76929329
0.474871949	0.430234224
0.928740305	0.481320069
0.369866562	0.774056281
0.670836399	0.443536149
0.495600292	0.740936181
0.501794498	0.470749477
0.335091601	0.559699779
0.145936372	0.361668308
0.452440701	0.344135898
0.631452106	0.636348364
0.702461258	0.561470975
0.083342051	0.425616194
0.713607595	0.559263412
0.551517038	0.600532377
0.660156703	0.523446274
0.610310925	0.709728212
0.074918485	0.56201679
0.985767675	0.393999165
0.435660942	0.427241848
0.837443006	0.666449066
0.739085087	0.311827511
0.765965823	0.593308607
0.761674269	0.667417673
0.614320365	0.269290397
0.451627656	0.666522262
0.646537462	0.414365441
0.855740486	0.644404707
0.438640724	0.650691412
0.101881447	0.311552374
0.789019521	0.174679812
0.172044738	0.625342051
0.862696773	0.383766422
0.756337012	0.302577026
0.197125826	0.503053778
0.184063612	0.575251684
0.900061528	0.44937879
0.715597298	0.198664683
0.092393943	0.510876108
0.612241743	0.443219222
0.037489163	0.317359043
0.392398916	0.20543505
0.961084563	0.089269349
0.022820644	0.443775955
0.332873989	0.39948876
0.366769713	0.429767524
0.256679415	0.400808818
0.059864607	0.229133696
0.141631565	0.068008953
0.174923615	0.150647548
0.136150614	0.36150881
0.346511391	0.487686968
0.299695968	0.403376673
0.52543243	0.103966036
0.483224748	0.380104188
0.961580557	0.044893828
0.893976526	0.231945994
0.95478401	0.483268531
