"x1" "y1"
"1" 1 9.12335742668087
"2" 2 2.68254109723275
"3" 3 11.9448967099586
"4" 4 7.71066672367965
"5" 5 7.64916427939933
"6" 6 8.21165843472753
"7" 7 7.37221735257479
"8" 8 14.2391427939765
"9" 9 7.06210075762893
"10" 10 13.1841425193826
"11" 11 9.2088340271389
"12" 12 7.88195438071972
"13" 13 7.47160429742827
"14" 14 14.5446580211510
"15" 15 9.40711873953894
"16" 16 7.07788560569418
"17" 17 12.0797765008672
"18" 18 10.7886022450801
"19" 19 12.5649177069111
"20" 20 17.0268211023679
"21" 21 13.4697805596923
"22" 22 8.57848856453877
"23" 23 15.2972819850226
"24" 24 20.5288172867553
"25" 25 8.4817780931289
"26" 26 15.1529332228115
"27" 27 21.5821588214104
"28" 28 16.0929063043042
"29" 29 19.1295471467454
"30" 30 19.8833590393448
"31" 31 22.5022135820725
"32" 32 20.4226470015931
"33" 33 18.4859956789117
"34" 34 23.6524038815270
"35" 35 22.4046307216433
"36" 36 24.7619270790385
"37" 37 28.8929875671084
"38" 38 23.0878420281197
"39" 39 24.1184891154345
"40" 40 24.2119037846723
"41" 41 28.6420971679680
"42" 42 25.4627202477469
"43" 43 22.1589822906518
"44" 44 26.4280976538306
"45" 45 35.4285649418821
"46" 46 28.9207281135746
"47" 47 34.4664035550367
"48" 48 34.6923191458793
"49" 49 32.5617993296602
"50" 50 32.9490893008102
