x	y
8	13.22409348
5.823167011	13.26224077
7	16.31528142
8.322984981	13.97404814
3.221792593	10.92471685
5.656177439	13.1428237
9	14.26734092
2.406254722	9.637110343
0	3.921508784
1.223421755	8.306242478
5.207844589	15.54119727
2	9.336303475
6.385564901	14.90007166
4.169787761	12.4714841
8.809525565	13.09256462
10	14
1.78767105	10.25611982
7.932377002	15.60773108
7.209401168	15.48996682
6.507559605	14.1954742
5	12.38404679
6.58627472	15.44993742
3.578944842	10.54729256
7.76818017	14.5999045
3	10.68173658
6	13.36880867
1	7.398237552
4	11.78030127
9.845917309	14.1
7.48730419	15.22105405
