Habitat	Fugus.yield
Birch	20.83829053
Birch	22.9718181
Birch	22.28216829
Birch	24.23136797
Birch	22.32147961
Birch	20.30783598
Birch	24.31375405
Birch	21.43514256
Birch	20.59168543
Birch	21.99926501
Oak	27.24047258
Oak	29.7730014
Oak	30.12608508
Oak	25.76088669
Oak	30.14750974
Oak	26.1724612
Oak	26.22070019
Oak	30.97588139
Oak	27.61038561
Oak	29.07634265
Hornbeam	17.05307949
Hornbeam	15.32805111
Hornbeam	18.26920177
Hornbeam	21.30987049
Hornbeam	21.7173223
Hornbeam	19.3015566
Hornbeam	17.0666911
Hornbeam	20.45256666
Hornbeam	16.13644955
Hornbeam	19.55030789
Ash	8.582681991
Ash	11.40907454
Ash	10.42302388
Ash	10.4194491
Ash	11.31154665
Ash	15.60154965
Ash	9.721049848
Ash	10.33250422
Ash	12.42585873
Ash	15.26053159
Beech	18.3389339
Beech	20.80275102
Beech	20.66303271
Beech	20.48956653
Beech	20.87821851
Beech	21.8293418
Beech	18.81115563
Beech	21.20475096
Beech	20.70449312
Beech	19.67228323
Alder	4.026972162
Alder	8.387522152
Alder	5.968327813
Alder	7.060725721
Alder	5.500574621
Alder	13.25662514
Alder	5.428802239
Alder	8.38006106
Alder	12.6929378
Alder	9.455443814
Pine	21.1797309
Pine	23.9511603
Pine	20.4019544
Pine	23.65080934
Pine	20.65518462
Pine	20.62474884
Pine	21.7150185
Pine	24.25330461
Pine	22.76125819
Pine	24.37329428
Rowan	18.68126296
Rowan	9.356385575
Rowan	12.2326323
Rowan	14.85171623
Rowan	11.87499276
Rowan	12.47376221
Rowan	12.98852883
Rowan	13.51153733
Rowan	19.97800517
Rowan	17.15869172
Sycamore	8.874533244
Sycamore	12.37919778
Sycamore	8.214692481
Sycamore	8.608125706
Sycamore	12.5158248
Sycamore	10.02866851
Sycamore	13.66667954
Sycamore	12.57304584
Sycamore	11.99646446
Sycamore	9.390770926
Chestnut	19.16289984
Chestnut	18.27888926
Chestnut	24.87332508
Chestnut	24.82757206
Chestnut	16.4871064
Chestnut	22.77393097
Chestnut	16.6779928
Chestnut	16.46922341
Chestnut	18.14509427
Chestnut	24.87274829
Spruce	5.78661816
Spruce	2.078386744
Spruce	8.738152125
Spruce	2.293966819
Spruce	10.95006879
Spruce	8.527556555
Spruce	4.034872649
Spruce	8.386229939
Spruce	2.066172699
Spruce	5.78402247
Willow	10.43704067
Willow	7.838630813
Willow	11.09515891
Willow	7.457602547
Willow	13.01655993
Willow	13.53701151
Willow	12.8919918
Willow	14.15336348
Willow	9.08466628
Willow	8.40948326
Cherry	13.55543382
Cherry	23.99423666
Cherry	17.93419549
Cherry	22.26984886
Cherry	14.72156668
Cherry	19.04224122
Cherry	20.38691915
Cherry	14.46887835
Cherry	21.3901649
Cherry	15.34538433
Holmoak	2.57890829
Holmoak	3.216452534
Holmoak	11.31626265
Holmoak	11.55144292
Holmoak	5.256866803
Holmoak	10.22479585
Holmoak	8.255996707
Holmoak	4.67958703
Holmoak	4.760141081
Holmoak	3.881482841
Aspen	20.16400372
Aspen	20.30777037
Aspen	25.14875379
Aspen	24.44688848
Aspen	19.42772865
Aspen	22.25902655
Aspen	24.43562549
Aspen	16.81381461
Aspen	19.00921156
Aspen	16.00260952
Lime	27.36153046
Lime	26.53901377
Lime	28.49958957
Lime	27.31444239
Lime	27.98406692
Lime	28.36655257
Lime	28.75807258
Lime	25.87611979
Lime	26.21773153
Lime	25.18669343
