lime	uptake	category
5.009668215	8.422629384	A
2.554295907	7.124970627	A
0.095371801	4.847317699	A
1.416560507	5.247363274	A
8.683120567	13.49119314	A
7.516756623	11.35276963	A
4.53180574	9.327293691	A
9.549102954	13.31977943	A
6.181551551	9.407761215	A
0.138849819	4.290319047	A
11.4034404	23.19559256	B
13.74336275	26.81869381	B
13.92513329	28.64189828	B
13.7197558	29.23012096	B
5.231307746	14.98295465	B
5.738500525	16.08582713	B
14.40588576	29.80401152	B
10.08355082	23.42507744	B
13.30223102	28.45057484	B
8.04422827	20.9100739	B
19.74361702	47.21594314	C
23.2873523	55.10985623	C
23.38565723	52.76052347	C
24.50160359	57.58153195	C
23.39861535	54.72289793	C
16.83696491	41.07453731	C
14.54308003	36.95519942	C
16.30304667	37.71043598	C
15.97870503	39.63261459	C
17.60863821	43.57882342	C
