Cancers	Distance
0	11.46952498
0	66.55394864
0	47.46230003
0	48.38128833
0	73.76534394
0	70.57555322
0	43.64083897
0	17.81218119
0	54.56414901
0	95.64008653
0	2.422537722
0	12.87567112
0	73.09881144
0	24.55984011
0	23.32238998
0	70.32468964
0	79.90967735
0	14.07392477
0	41.14788517
0	34.51294189
0	72.73501428
0	51.70798334
0	45.23712686
0	94.9555794
0	79.87797925
0	2.766892529
0	94.78422627
0	97.01885148
0	43.27307209
0	5.973689643
0	88.73868531
0	23.76115956
0	79.4807305
0	1.386907856
0	41.95475353
0	58.76711801
0	72.99865268
0	40.90071201
0	7.025356296
0	17.15687836
0	18.83508269
0	0.479771068
0	32.96435415
0	64.05478868
0	3.212366303
0	69.78215864
0	51.71269425
0	91.50296577
1	71.75949918
1	71.1741827
1	22.78097983
1	53.13556856
1	65.55151643
1	2.575546962
1	15.57941073
1	26.52545168
1	27.59364034
1	18.27444924
1	94.49867119
1	92.58247404
1	73.61021651
1	47.06909093
1	86.67474578
1	53.81101526
1	99.11360431
1	15.84067672
1	92.41880212
1	66.18831233
1	56.54806228
1	79.6523586
1	86.94647677
2	22.48104627
2	7.488115026
2	61.91036983
2	42.87475137
2	94.06591258
2	42.46016785
2	22.44114861
2	15.65324062
2	51.60880618
2	71.21820854
2	55.15873665
2	35.08534093
3	94.26593737
3	6.90362832
3	21.66642883
3	7.130288492
3	47.69598044
3	43.35659292
3	26.23175014
4	43.1507975
4	5.114980886
6	2.2
4	80
