explanatory	response
10.17704901	19.5438272
6.622633593	17.13558336
7.773628842	19.50681386
11.05525689	21.57085445
4.487274435	13.22762816
11.19021562	21.62901581
4.621475719	13.97512839
8.752568656	18.81947863
11.50710599	22.1911634
8.393351379	19.6669531
11.02458716	22.07193767
8.644883304	19.00616461
13.07754999	24.83638625
10.70138681	20.78244867
11.64134187	20.49131227
8.653018644	19.36282937
8.236722049	18.23238662
6.877916435	16.2839471
11.8874936	22.36376029
11.53048751	21.10183513
10.99661911	19.18819726
16.53451874	28.42301744
9.21516593	19.41110301
11.75999107	20.80725136
9.780386732	20.7207867
8.35582626	18.40017739
7.536704154	19.13861015
11.45947999	24.1868023
8.522356484	17.17064089
13.31358534	21.84252793
9.451033058	17.81720193
9.132838154	17.22532896
6.278001385	17.49142428
12.11923506	19.48510601
10.62237921	23.18112206
