Density	Fishery	Recruits
3.766090392	0.266610321	10.35880002
8.904925219	0.421515341	19.02126653
7.126109877	0.629151178	13.99687206
4.063701365	0.651731228	9.35808375
3.916518046	0.987110076	6.705961801
9.494904687	1.047165913	9.914771957
4.396175977	1.408726223	4.24178535
2.481140548	1.681837652	3.581590142
0.714003657	1.730295456	2.442666564
2.880309508	2.088988523	3.468051505
8.46532134	2.001024578	5.52078524
15.76992947	0.257717073	25.97027884
19.38729387	0.341790865	28.28637852
12.91087744	0.695218975	17.46402977
16.27012496	0.630314923	19.93709681
15.58654197	1.026259244	12.53120429
17.60305314	1.050945353	15.15106154
12.49435008	1.473762109	7.755768784
11.06562483	1.628441613	7.464105899
12.93724196	1.862996088	7.266811667
10.56026216	1.933438856	5.669016643
16.53146214	2.228088415	3.874649062
28.56645319	0.09750243	33.40907978
23.52660636	0.407428816	26.65096519
22.03655125	0.492493286	22.70974464
23.66419299	0.84457746	18.37213895
29.48457024	0.802328466	17.56840156
22.0994834	1.034191717	14.58595429
21.88167051	1.259980687	12.68427304
26.79272049	1.502636192	8.701211256
26.3090387	1.695471245	8.607095626
25.26286089	2.060102816	5.019571752
25.68108254	2.180746579	4.909403198
33.21097375	0.212593632	30.90444671
38.12946458	0.24754728	28.16044253
36.1569247	0.678122973	17.37481037
35.31508662	0.647367682	20.61870277
35.47615468	0.902850239	14.47501543
32.43100524	1.210471353	11.59210928
33.99583559	1.356438662	10.46629025
37.53354014	1.670329094	8.949980729
36.11962782	1.689343126	6.312633847
34.5292819	1.925723345	7.982870759
33.4995604	2.03887942	7.549303508
46.59537969	0.160116337	27.28691583
42.10353732	0.228598144	26.12835191
46.63706396	0.541553103	17.36881155
41.62171535	0.86939255	13.88211908
42.9325427	0.878454603	14.4698234
43.50228151	1.240599684	10.76125932
49.42242645	1.492901743	8.666961883
48.88432745	1.552794085	6.397718632
43.69769763	1.816050297	7.884893084
41.1861954	1.852147446	6.011525429
43.11097731	2.150642663	5.828599367
57.41331303	0.247814931	20.5717214
59.75545612	0.21343375	20.65082713
55.68615201	0.574363785	14.42197428
59.41846235	0.624960899	12.85687436
55.33545216	0.847669241	12.59709051
50.17111138	1.077944662	11.7584303
56.13961515	1.478210293	8.088177501
55.81004504	1.476967043	8.035100115
56.41602059	1.715543713	6.431768137
53.71879452	1.931827752	6.068356661
56.65128434	2.131302159	4.608467701
69.68091272	0.250712561	15.47471507
67.96920421	0.430034798	14.01590956
60.9222472	0.685089174	10.98106416
65.32852405	0.706437761	11.33766762
67.94662997	0.97898495	8.486685218
69.19208043	1.226055186	6.614824095
68.70446382	1.45957256	6.344343945
66.92870879	1.668870049	3.830574861
64.59915189	1.611520268	4.931867677
62.93977403	1.909019735	3.471874649
60.04633318	2.214544149	4.389940473
73.30925668	0.06969512	16.96096067
77.45246685	0.283705712	11.90117848
75.41127174	0.58639048	8.261741572
71.76378863	0.728442639	10.83686772
79.3746323	0.811312332	7.513479977
72.04504214	1.194164183	6.390467787
73.945569	1.246391495	7.159498741
79.80646881	1.443303746	5.591548091
75.18458342	1.897212393	5.092279082
79.62872286	1.974014541	4.432424466
75.44352321	2.088642705	2.062187978
84.30266823	0.258537561	11.54366046
85.38436337	0.258376898	9.497705481
84.65677658	0.589481797	6.995682141
85.72482932	0.769860978	7.828473786
86.19964878	1.065917726	5.191371247
88.24102191	1.215684226	6.049894713
87.86676711	1.248992715	3.20804297
88.426566	1.682539345	3.736440804
83.45368914	1.623829747	3.289851715
85.12614544	1.979630492	3.706225075
87.87630331	2.158641299	3.003459341
96.66550468	0.121040501	9.191514425
93.36441017	0.319565151	7.607046081
90.03851269	0.410392382	7.787992087
90.72309857	0.709930281	7.623160179
98.92965157	0.806640803	5.203833602
98.85288285	1.188270833	4.02316002
93.07090648	1.244573546	3.793494055
90.60003361	1.551300409	2.896369609
95.77543096	1.678622481	1.698476982
92.15441093	1.817491117	3.937553164
98.6679935	2.014322284	1.242650134
103.9579028	0.080307173	6.600797228
100.3158248	0.314871213	7.432689738
102.1600979	0.593041167	6.00086443
101.2770784	0.72899967	4.092542667
100.6743893	0.958704224	4.728326792
104.4191691	1.083193051	4.19359507
106.4036909	1.282839167	1.941435347
103.6581367	1.660228247	1.897249549
105.1023317	1.663385483	1.912072208
108.2669812	1.864056666	1.522668925
105.7178973	2.227482178	1.32286743
